visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select hire_date , avg ( employee_id ) from employees where hire_date < {value} bin hire_date by weekday
visualize bar select fate , count ( fate ) from mission group by fate
visualize bar select hire_date , sum ( salary ) from employees where first_name like {value} or first_name like {value} bin hire_date by weekday
visualize bar select card_type_code , count ( * ) from customers_cards group by card_type_code order by card_type_code asc
visualize pie select template_type_code , count ( * ) from templates group by template_type_code
visualize bar select date_address_to , count ( date_address_to ) from student_addresses group by other_details order by monthly_rental desc bin date_address_to by month
visualize bar select acc_regular_season , all_games_percent from basketball_match order by all_games_percent desc
visualize line select hire_date , manager_id from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by hire_date desc
visualize bar select paragraph_text , count ( paragraph_text ) from paragraphs as t1 join documents as t2 on t1 . document_id = t2 . document_id where t2 . document_name = {value} group by paragraph_text order by count ( paragraph_text ) desc
visualize bar select nationality , count ( * ) from host group by nationality
visualize bar select t1 . name , count ( t1 . name ) from camera_lens as t1 join photos as t2 on t2 . camera_lens_id = t1 . id where t1 . brand = {value} or t1 . brand = {value} group by t1 . name order by count ( t1 . name ) asc
visualize bar select name , age from editor order by age desc
visualize bar select t2 . headquarter , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . headquarter
visualize scatter select team_id , acc_percent from basketball_match group by acc_home
visualize bar select name , price from products where price >= {value} order by price desc , name asc
visualize bar select name , id from swimmer order by name desc
visualize bar select year , sum ( count ( * ) ) from postseason as t1 join team as t2 on t1 . team_id_winner = t2 . team_id_br where t2 . name = {value} order by sum ( count ( * ) ) asc bin year by weekday
visualize scatter select destruction_authorised_by_employee_id , count ( * ) from documents_to_be_destroyed group by destruction_authorised_by_employee_id
visualize bar select budget_type_description , count ( budget_type_description ) from documents_with_expenses as t1 join ref_budget_codes as t2 on t1 . budget_type_code = t2 . budget_type_code group by budget_type_description order by count ( budget_type_description ) desc
visualize bar select rank , count ( * ) from faculty group by sex , rank
visualize bar select continent , avg ( lifeexpectancy ) from country group by continent order by continent asc
visualize bar select active_from_date , count ( active_from_date ) from customers as t1 join customer_contact_channels as t2 on t1 . customer_id = t2 . customer_id where t2 . channel_code = {value} order by count ( active_from_date ) desc bin active_from_date by year
visualize bar select name , age from driver order by age asc
visualize bar select hire_date , sum ( department_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) bin hire_date by weekday
visualize scatter select t1 . code , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder
visualize line select calendar_date , count ( calendar_date ) from ref_calendar order by calendar_date asc bin calendar_date by year
visualize bar select school_code , count ( distinct dept_address ) from department order by school_code desc
visualize bar select competition , count ( * ) from match group by competition order by competition asc
visualize bar select acc_road , team_id from basketball_match group by acc_home , acc_road order by team_id desc
visualize bar select hire_date , avg ( salary ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by avg ( salary ) asc bin hire_date by month
visualize bar select job_id , sum ( manager_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id order by job_id asc
visualize bar select all_games , all_games_percent from basketball_match order by all_games_percent desc
visualize bar select dept_name , min ( salary ) from instructor group by dept_name order by min ( salary ) desc
visualize scatter select shop_id , employee_id from hiring
visualize bar select director , min ( t1 . stars ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid group by director order by director asc
visualize bar select meter_500 , id from swimmer order by id desc
visualize bar select studio , count ( * ) from film group by studio order by studio asc
visualize bar select product_name , count ( product_name ) from products where product_id not in ( select product_id from products_in_events ) group by product_name
visualize pie select all_games , school_id from basketball_match
visualize line select start_from , sum ( shop_id ) from hiring order by start_from desc bin start_from by year
visualize bar select hire_date , avg ( department_id ) from employees where first_name like {value} or first_name like {value} order by avg ( department_id ) desc bin hire_date by month
